time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2024-01-03 03:45:00,2024-01-03 12:15:00,BUY,OB-BOS,2062.72,2053.71,2090.41,2053.71,0.08,-72.61,-1.008,SL,1.13,6964.69
2024-01-10 09:30:00,2024-01-11 18:30:00,BUY,OB-CHoCH,2031.17,2015.56,2078.99,2015.56,0.04,-62.74,-1.004,SL,1.13,6901.95
2024-01-16 10:00:00,2024-01-17 16:45:00,SELL,OB-CHoCH,2047.46,2057.26,2013.16,2013.16,0.07,239.61,3.495,TP,0.27,7141.56
2024-01-19 23:30:00,2024-01-22 07:00:00,BUY,FVG-POI,2029.85,2024.42,2045.22,2024.42,0.13,-71.53,-1.013,SL,1.09,7070.04
2024-01-22 10:15:00,2024-01-22 16:30:00,BUY,OB-CHoCH,2025.34,2017.59,2050.99,2017.59,0.09,-70.38,-1.009,SL,1.15,6999.65
2024-01-22 23:30:00,2024-01-24 17:30:00,BUY,FVG-POI,2021.54,2017.15,2039.5,2017.15,0.16,-71.34,-1.016,SL,1.43,6928.32
2024-01-29 22:00:00,2024-02-05 15:15:00,BUY,OB-CHoCH,2031.16,2018.17,2078.99,2018.17,0.05,-65.32,-1.005,SL,1.13,6863.0
2024-02-07 07:45:00,2024-02-07 16:30:00,SELL,OB-CHoCH,2032.94,2040.23,2009.47,2040.23,0.09,-66.25,-1.01,SL,1.22,6796.75
2024-02-07 19:15:00,2024-02-15 01:15:00,SELL,FVG-POI,2034.24,2054.4,1973.0,1992.89,0.03,123.84,2.048,time_stop,0.22,6920.59
2024-02-15 21:00:00,2024-02-23 05:30:00,BUY,FVG-POI,2006.03,1985.06,2078.99,2026.16,0.03,60.18,0.957,time_stop,0.52,6980.77
2024-02-29 07:00:00,2024-02-29 15:30:00,SELL,OB-CHoCH,2034.67,2040.26,2015.92,2040.26,0.12,-67.97,-1.013,SL,1.67,6912.8
2024-03-13 21:30:00,2024-03-18 04:45:00,SELL,OB-CHoCH,2172.85,2181.06,2147.98,2147.98,0.08,198.4,3.02,TP,0.5,7111.2
2024-03-22 14:00:00,2024-03-22 18:45:00,BUY,FVG-POI,2171.59,2163.71,2208.89,2163.71,0.09,-71.51,-1.009,SL,1.27,7039.69
2024-03-25 19:45:00,2024-03-26 11:00:00,SELL,OB-CHoCH,2174.42,2181.42,2149.61,2181.42,0.1,-70.68,-1.01,SL,1.35,6969.01
