time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2014-03-07 10:30:00,2014-03-07 15:15:00,SELL,SweepEQH,1347.64,1352.54,1333.21,1352.54,0.15,-74.56,-1.014,SL,1.07,7401.38
2014-03-12 10:15:00,2014-03-12 14:30:00,SELL,SweepEQH,1354.63,1363.64,1327.97,1363.64,0.08,-72.66,-1.008,SL,1.21,7328.71
2014-03-17 22:15:00,2014-03-18 03:15:00,BUY,SweepEQL,1368.02,1361.28,1388.91,1361.28,0.11,-74.94,-1.01,SL,1.03,7253.77
2014-03-21 10:15:00,2014-03-24 03:15:00,BUY,SweepEQL,1337.5,1328.5,1364.0,1328.5,0.08,-72.59,-1.008,SL,1.16,7181.18
2014-03-24 07:15:00,2014-03-24 09:00:00,BUY,SweepEQL,1328.2,1324.43,1339.83,1324.43,0.19,-72.88,-1.019,SL,1.59,7108.3
2014-04-01 06:45:00,2014-04-08 11:45:00,BUY,SweepEQL,1284.96,1277.2,1311.37,1311.37,0.09,237.06,3.394,TP,0.94,7345.36
2014-04-23 13:00:00,2014-04-23 17:30:00,BUY,SweepEQL,1285.92,1281.63,1301.69,1281.63,0.17,-74.08,-1.016,SL,1.2,7271.28
2014-04-25 10:45:00,2014-04-29 10:30:00,BUY,SweepEQL,1294.39,1289.91,1307.0,1289.91,0.16,-72.73,-1.016,SL,1.22,7198.55
2014-04-30 10:00:00,2014-04-30 15:30:00,SELL,SweepEQH,1291.0,1295.12,1268.41,1295.12,0.17,-71.26,-1.017,SL,1.51,7127.3
2014-05-02 22:00:00,2014-05-05 04:00:00,SELL,SweepEQH,1297.26,1305.05,1273.21,1305.05,0.09,-70.73,-1.009,SL,1.54,7056.57
2014-05-06 12:30:00,2014-05-07 06:00:00,SELL,SweepEQH,1308.04,1313.45,1280.34,1313.45,0.13,-71.25,-1.013,SL,1.01,6985.32
2014-05-14 06:30:00,2014-05-14 13:45:00,BUY,SweepEQL,1294.41,1291.24,1303.84,1303.84,0.22,205.92,2.957,TP,0.28,7191.24
2014-05-16 06:45:00,2014-05-16 09:30:00,BUY,SweepEQL,1297.59,1294.36,1306.28,1294.36,0.22,-72.59,-1.022,SL,1.14,7118.66
2014-05-20 01:15:00,2014-05-20 04:00:00,BUY,SweepEQL,1294.1,1292.3,1302.7,1292.3,0.39,-73.02,-1.039,SL,1.76,7045.64
2014-05-21 21:30:00,2014-05-27 10:15:00,BUY,SweepEQL,1291.55,1282.72,1331.04,1282.72,0.08,-71.16,-1.008,SL,1.01,6974.48
2014-06-05 13:45:00,2014-06-05 14:45:00,BUY,SweepEQL,1245.31,1242.09,1256.27,1242.09,0.22,-72.3,-1.022,SL,1.34,6902.18
2014-06-06 15:00:00,2014-06-06 16:30:00,BUY,SweepEQL,1254.09,1251.03,1267.1,1251.03,0.23,-72.04,-1.023,SL,2.71,6830.14
2014-06-11 01:00:00,2014-06-11 04:30:00,SELL,SweepEQH,1258.79,1261.61,1251.04,1261.61,0.24,-69.39,-1.025,SL,1.01,6760.74
